epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.9879899209424002,0.3604496339644034,0.7383690262685937,0.8937007874015748
2,0.26561961535009504,0.25025799424629513,0.9128600063297816,0.9138779527559056
3,0.22021062048204162,0.22480698669050622,0.920561240637198,0.9202755905511811
4,0.2078500719013339,0.22071110181451783,0.9260470513767275,0.922736220472441
5,0.2011278509835878,0.21143064395649228,0.9275240004219855,0.9237204724409449
6,0.19730496448370863,0.20790796967472616,0.9263635404578542,0.9251968503937008
7,0.19574792338164781,0.20864717691667437,0.9280514822238632,0.9266732283464567
8,0.19386525572809046,0.20466266443410258,0.9283679713049899,0.9247047244094488
9,0.19162767046107712,0.2043890570561717,0.9296339276294968,0.9247047244094488
10,0.18909338680292964,0.20100076179804766,0.9310053803143792,0.9266732283464567
11,0.1886073684048484,0.20675990841989442,0.9294229349087456,0.9202755905511811
12,0.18739514333669652,0.20470359111864736,0.9314273657558815,0.9261811023622047
13,0.18572132071665456,0.20406615816232726,0.9310053803143792,0.922244094488189
14,0.18344109307419262,0.20826892132364858,0.9320603439181349,0.9237204724409449
15,0.18355520832106614,0.20812570233279326,0.932482329359637,0.9256889763779528
16,0.1833234239302427,0.19799895173921359,0.9317438548370082,0.9296259842519685
17,0.18113429799655506,0.20140846202692647,0.9350142420086507,0.9251968503937008
18,0.18234616603577725,0.20061875832831766,0.9329043148011393,0.9256889763779528
19,0.1812047286296912,0.19851901857402382,0.933220803882266,0.9261811023622047
20,0.1803008091073711,0.20119589602384041,0.9343812638463973,0.9251968503937008
21,0.17964624690552378,0.19933186049067128,0.9329043148011393,0.9271653543307087
22,0.1779049916639146,0.20179867568447835,0.9344867602067729,0.922736220472441
23,0.17995489848843874,0.2083947978855118,0.9352252347294019,0.9212598425196851
24,0.17685037306786489,0.20188842121306366,0.9351197383690263,0.9261811023622047
25,0.1772009248242312,0.19820195313279085,0.9342757674860217,0.9256889763779528
26,0.1753790414318252,0.19940823269641306,0.9353307310897774,0.9261811023622047
27,0.17549003340144337,0.19782775810619038,0.9353307310897774,0.9286417322834646
28,0.17485489708663562,0.2005612840215991,0.9372296655765376,0.9247047244094488
29,0.17440084152859794,0.19929249432143264,0.9365966874142843,0.9261811023622047
30,0.17359007764083006,0.2017223479475562,0.935436227450153,0.9232283464566929
31,0.17474295193100922,0.20082885003465367,0.9358582128916553,0.9237204724409449
32,0.17348363653323684,0.2016935078060533,0.9365966874142843,0.9232283464566929
33,0.1728510187687483,0.2013435985629014,0.936913176495411,0.922244094488189
34,0.17289590604406002,0.19900072647595968,0.9365966874142843,0.9271653543307087
35,0.17322972450509114,0.20362499068806492,0.9370186728557864,0.9212598425196851
36,0.17180939428551512,0.19670917568948326,0.936913176495411,0.9256889763779528
37,0.17156718966704101,0.19531109794153004,0.9362801983331575,0.9281496062992126
38,0.17244079898756345,0.19572496009389245,0.936913176495411,0.9256889763779528
39,0.17075912271299018,0.20078058664019652,0.9356472201709041,0.9212598425196851
40,0.1710909563996077,0.1990169750189218,0.9367021837746597,0.921751968503937
41,0.17036772962895008,0.20183353302047008,0.9359637092520308,0.9232283464566929
42,0.17127984372331242,0.1961234455385546,0.9353307310897774,0.9276574803149606
43,0.1708695206310518,0.19698525490019264,0.9383901255406688,0.9256889763779528
44,0.1707294007572856,0.19761434373423808,0.9359637092520308,0.9232283464566929
45,0.16936258428912523,0.19767316753470052,0.9374406582972887,0.922736220472441
46,0.16900746042746156,0.20526561053015116,0.9379681400991666,0.9187992125984252
47,0.16762220551176205,0.20235633369036546,0.9380736364595421,0.922244094488189
48,0.16795933469053134,0.19697739254301927,0.9365966874142843,0.9242125984251969
49,0.16697002704768055,0.19803722196911264,0.9376516510180398,0.9266732283464567
50,0.16733216585734687,0.20149887957441526,0.9383901255406688,0.9207677165354331
51,0.16739311366911766,0.20111130260107085,0.9377571473784154,0.9256889763779528
52,0.1672816075108924,0.20158758401636065,0.9395505855048001,0.9247047244094488
